mesh,frequency_hz,impedance_magnitude_pa_s_m3,radiated_power_w,mouth_pressure_rms_pa,mouth_velocity_rms_m_s,mouth_pressure_coherence,mouth_velocity_coherence,horizontal_6db_beamwidth_deg,vertical_6db_beamwidth_deg,horizontal_first_null_deg,vertical_first_null_deg,horizontal_peak_sidelobe_db,vertical_peak_sidelobe_db,gmres_iterations,solve_seconds,relative_residual
6ppw,500.0,451609.4623554819,41223.10252402003,21492.360228597154,48.26180956116518,0.9774425910956425,0.9848501545344236,180.0,180.0,nan,88.0,nan,-1.5720720273330888,44,1.757909417,1.3051689647416614e-10
8ppw,500.0,451932.4753888677,41257.16586452919,21508.224970438805,48.24319315285521,0.9774965650069075,0.9848655140080079,180.0,180.0,nan,88.0,nan,-1.570745488521512,45,5.018025625,1.7939826133689383e-10
10ppw,500.0,452087.2596594538,41288.29372455462,21526.06145678365,48.30813978437192,0.9775478261824813,0.9848803063206114,180.0,180.0,nan,88.0,nan,-1.570746840080005,45,16.356654416,3.194638964928672e-10
6ppw,1000.0,1070321.6679395712,359612.37334958324,59460.5808275516,120.52434119731132,0.9343761262602246,0.9142871951320818,82.61959901364848,166.72632104526352,nan,89.0,nan,-6.065669418648979,45,1.754186708,1.7754988486251579e-10
8ppw,1000.0,1071535.1519859668,360353.5544854885,59536.704015915886,120.5349489185451,0.9344975451755103,0.9143278723675776,82.60358200922221,166.9791073512734,nan,89.0,nan,-6.062659452399297,46,5.128350167,2.1030402952417087e-10
10ppw,1000.0,1072099.0638955988,360905.94052729686,59607.0902183865,120.74352331885343,0.9347238719111761,0.9144043492381837,82.58245482399631,166.8594338379429,nan,89.0,nan,-6.0640803631691265,45,16.586397708,3.8336673123306894e-10
6ppw,2000.0,937095.6437741651,466238.10153506097,65161.418391726555,138.32396024865636,0.7596490869431088,0.7500322760965067,86.90568258762522,75.42555201176515,nan,82.0,nan,-10.581180731625867,54,2.142176792,1.7730728699125414e-10
8ppw,2000.0,938149.2918339797,466716.29413446394,65212.96703286333,138.24514915065853,0.7596814495969517,0.7497857801132305,86.956472804666,75.45269754295369,nan,82.0,nan,-10.54623714993401,53,5.896308125,2.2504505590568032e-10
10ppw,2000.0,938246.0287487643,466797.2754550979,65250.554393537124,138.3906873252435,0.760106508849837,0.7497130243624635,86.99685378210476,75.46440226803611,nan,82.0,nan,-10.533468493878013,54,19.698054375,3.288510505065699e-10
6ppw,3000.0,801320.9248445383,399693.39449838543,59778.724781128934,128.57907576003868,0.5336652684627433,0.5840513249750916,83.79541414257217,54.30541505638393,nan,80.0,nan,-12.351022644616306,67,2.661783042,1.1349153056878417e-10
8ppw,3000.0,800101.6879729091,399074.13397573197,59747.46853056377,128.31441771872048,0.5328043750093752,0.5832903097967558,83.96287715678689,54.30978942281494,nan,80.0,nan,-12.343386823401858,68,7.423706125,1.1937631084452412e-10
10ppw,3000.0,797198.1333492817,397670.85518652125,59666.617126539764,128.21492013285567,0.5335836026398649,0.5835357122508423,84.10130247116875,54.229077685149704,nan,80.0,nan,-12.351896557005533,67,24.566568792,2.183715321703547e-10
6ppw,4000.0,778448.5097802754,387425.49157207314,58287.04278095022,127.497587871215,0.3873035309369508,0.46989983153605075,79.10935559782301,44.13967012100228,nan,73.0,nan,-14.909574583442184,83,3.464666458,9.4914612282622e-11
8ppw,4000.0,781532.1077499765,388841.7906248261,58428.20280527123,127.51406292762447,0.3838940632221085,0.46693547207411523,79.51210434950556,44.301165099458096,nan,73.0,nan,-14.816796958597106,84,9.4784485,8.843824387823223e-11
10ppw,4000.0,777747.7510881878,386934.52100463514,58307.3018025938,127.32214893228762,0.38484314307264517,0.4675342026464814,79.61630210469583,44.281769355577346,nan,73.0,nan,-14.813364764325526,84,29.429989875,1.4757625246315283e-10
6ppw,5000.0,828941.9292664088,412041.78088267776,59704.16912222039,132.20545418727556,0.3214672587491219,0.4012386249142258,75.56582972781548,42.05814393146526,nan,78.0,nan,-17.66654819062275,95,3.967785083,1.5158557814104064e-10
8ppw,5000.0,827822.9445188617,411270.5783305766,59682.719219516955,131.83895689717846,0.3195222544011845,0.3990724240418101,75.90309380035639,42.267675456292885,nan,77.0,nan,-17.518041706744064,97,10.473581583,9.804006442601246e-11
10ppw,5000.0,821304.1681574038,407985.7031556333,59460.733915677396,131.444344118229,0.3211813082746371,0.400530880482101,75.67584101252413,42.00882372304244,nan,77.0,nan,-17.49373601623117,98,35.277285333,1.3330556770412184e-10
