frequency_hz,impedance_magnitude_pa_s_m3,horizontal_6db_half_angle_deg,vertical_6db_half_angle_deg,radiated_power_w,gmres_iterations,solve_seconds,relative_residual
500.0,344929.7637893371,90.0,90.0,34058.07154491641,32,11.925174417,8.109525329793243e-11
529.6268625886443,363952.4177534999,90.0,90.0,36476.26840384096,32,11.916193458,7.029756677723354e-11
561.0092271509814,387129.665945104,90.0,90.0,39118.88244087404,31,11.925338666,1.0042859298252196e-10
594.2511137185094,415133.8502065488,73.05596804230854,90.0,42784.28316816881,31,11.459408875,7.690271307819448e-11
629.4627058970837,448360.8753571641,65.77727166524629,90.0,48322.6322723611,30,11.4070215,9.820650591239547e-11
666.7607160816619,487018.0487117931,60.491790139558724,90.0,56760.85631494204,30,11.424492083,1.520063577557107e-10
706.2687723113769,530846.1372181741,56.2372982105168,90.0,69421.24839257273,30,11.219798667,2.0320050518225964e-10
748.1178280472163,578282.1458742623,52.64104573887215,90.0,87794.18818559306,30,11.176604625,2.8413003504793716e-10
792.4465962305569,625028.8021003624,49.50519521604596,90.0,112628.00809474279,29,10.689867333,8.655694409419733e-10
839.4020090612802,663342.1689375537,46.70878408183335,76.9632877280634,141740.96798701398,31,11.668118833,2.2407393311300282e-10
889.1397050194613,686042.9683282205,44.171918847714785,68.1064753034845,168553.58652467187,32,12.399224958,1.3739446987543716e-10
941.8245447449,695877.3138009313,41.84200479075004,62.199645869667386,186643.86547634876,33,12.522065375,9.441112682110557e-11
997.6311574844393,707357.9099826267,39.69251517488765,57.523679168731896,197278.97147793343,33,12.477873417,1.1909190178405333e-10
1056.7445199183237,734883.1043015441,37.73089102567181,53.5702150420604,208381.35271182744,32,11.688093625,3.374999976658179e-10
1119.36056928417,783137.1994112871,36.02186274347895,50.10908213891563,228328.70491302002,33,12.623687,1.3145677031380465e-10
1185.6868528308275,845180.1386408336,34.73540348044924,47.022026821161994,262330.2899843033,35,12.819180083,8.879651537629468e-11
1255.9432157547897,899862.5567143282,34.179945142792654,44.24311137633074,307115.59727024625,35,13.564946125,1.6201800521604063e-10
1330.362529899404,918634.4977432007,34.66136634427933,41.709869338627826,344144.35136429995,28,10.206606,6.536579316860923e-08
1409.1914656322274,903163.1447992679,35.779008302387254,39.32637900599064,357542.1416881789,36,13.66176825,1.7518963066174082e-10
1492.69130945898,893440.7053307983,36.25292621036397,37.01707684815411,359877.2495369004,37,13.621436709,1.5656759839162313e-10
1581.1388300841895,917642.3072366008,35.87412124531571,34.819522241794154,372394.85677850014,36,13.648431958,1.9120912680627365e-10
1674.8271957891377,969711.179215208,35.72185687142413,32.91999088824525,404369.94244113384,38,14.569444333,9.433066133565009e-11
1774.0669461678763,1006806.6183734598,37.059467348747845,31.67903945316875,442175.11111880856,38,14.403328791,3.476338220926771e-10
1879.1870214422213,981759.9513158093,39.5721433623795,31.428740402064896,449463.4877387974,41,15.994806375,1.1476215378102733e-10
1990.5358527674864,948871.8458371147,40.78001245391192,31.36620277498555,438019.43102414237,41,14.995339625,3.5550552218658386e-10
2108.482517142911,967950.261309046,39.32992883701142,29.79475578838987,449138.102569313,43,16.470865708,1.199512778326947e-10
2233.417960754815,991132.1282474101,36.546743408559934,27.530189424025977,469451.1461398173,42,16.00897,3.7144481666127486e-10
2365.756294807401,974166.4428157653,35.07234043742369,25.8615989191224,470663.6209828937,39,14.906952583,5.262727796249099e-09
2505.936168136362,941483.6597614792,36.06123159606391,25.20141931959922,457932.35777885944,46,17.076796042,1.0446450351184741e-10
2654.422221154942,937936.8683864358,37.98166537180522,25.363798887234022,457784.11915895436,47,18.570947708,1.6993576192777147e-10
2811.706625951745,934277.006677843,37.051228143222,24.637874191233298,459324.826995144,50,19.019957417,1.466883470319172e-10
2978.310717645051,912219.3166906302,36.05414147762925,23.91467065415631,450887.27535687486,50,18.812024083,3.2126389049027284e-10
3154.7867224009647,893560.4427268185,38.77422982813067,24.880673680119656,442426.1764964982,52,19.758005958,7.889698546090252e-10
3341.719587843074,882157.0384392851,38.111312928684946,24.836653746175923,437488.0662128873,55,20.56007275,4.567419297343186e-10
3539.72892192069,873559.952670481,35.9813999844423,23.662922287972282,433992.95799416007,59,22.016752083,1.27499423083729e-10
3749.4710466622787,855864.7940644851,36.561469593825066,24.928921223622762,425751.62498711614,63,23.851758542,1.7592107533076456e-10
3971.6411736214063,848578.6564285107,35.97492492232843,24.71235425980209,421876.2211371183,66,24.80229625,4.2125468943157017e-11
4206.975708225973,846028.8090950018,34.582983816714666,24.03427087619652,421278.1135830484,69,26.394821417,9.18228312073259e-11
4456.2546906687285,830490.4016528465,35.84945885945237,24.200268485641555,413358.160990523,73,27.4805315,2.566788992953139e-09
4720.304381429617,837743.18560744,34.797218571616376,23.21523415977462,417198.8409505728,75,27.638578709,6.358827035439377e-11
5000.0,823185.9551755479,35.26389853539659,23.61380955797242,410003.2488982882,80,28.633247166,3.7893533687882126e-11
